G2,Ἀαρών
G4397,προφητικός
G4398,προφῆτις
G4403,πρύμνα
G4417,πταίω
G4419,πτερύγιον
G4425,πτύον
G4440,πυλών-2
G4444,πύργος
G4450,Πύρρος
G4454,πῶλος
G4460,Ῥαάβ
G4461,ῥαββι
G4464,ῥάβδος-2
G4470,ῥάκος
G4476,ῥαφίς
G4487,ῥῆμα
G4491,ῥίζα
G4504,Ῥοῦφος-2
G4506,ῥύομαι
G4514,Ῥωμαῖος
G4516,Ῥώμη
G4519,Σαβαώθ
G4521,σάββατον-2
G4523,Σαδδουκαῖος
G4526,σάκκος
G4528,Σαλαθιήλ
G4536,σάλπιγξ-2
G4537,σαλπίζω-2
G4540,Σαμάρεια-2
G4541,Σαμαρίτης
G4545,Σαμουήλ
G4547,σανδάλιον
G4549,Σαούλ-2
G4554,Σάρδεις
G4559,σαρκικός
G4560,σάρκινος
G4561,σάρξ
G4564,Σάρρα
G4567,Σατανᾶς
G4569,Σαῦλος
G4574,σέβασμα
G4576,σέβομαι
G4592,σημεῖον
G4597,σής
G4605,Σιδών
G4606,Σιδώνιος-2
G4609,Σιλᾶς
G4610,Σιλουανός
G4611,Σιλωάμ
G4613,Σίμων-9
G4614,Σινᾶ
G4615,σίναπι
G4616,σινδών
G4621,σῖτος
G4622,Σιών-2
G4623,σιωπάω
G4624,σκανδαλίζω
G4625,σκάνδαλον
G4633,σκηνή-3
G4637,σκηνόω
G4638,σκήνωμα-2
G4641,σκληροκαρδία
G4651,σκορπίος
G4666,σμύρνα
G4670,Σόδομα
G4672,Σολομών
G4676,σουδάριον
G4689,σπενδω
G4690,σπέρμα
G4697,σπλαγχνίζομαι
G4698,σπλάγχνον
G4699,σπόγγος
G4703,σπόρος
G4710,σπουδή-2
G4711,σπυρίς
G4712,στάδιον
G4716,σταυρός
G4717,σταυρόω
G4718,σταφυλή
G4719,στάχυς
G4721,στέγη
G4734,Στεφανᾶς
G4735,στέφανος
G4736,Στέφανος
G4745,στοά
G4747,στοιχεῖα
G4749,στολή
G4765,στρουθίον
G4769,στῦλος
G4790,συγκοινωνέω
G4791,συγκοινωνός
G4800,συζάω
G4808,συκῆ
G4810,σῦκον
G4826,Συμεών-5
G4834,συμπαθέω
G4864,συναγωγή
G4889,σύνδουλος
G4891,συνεγείρω
G4893,συνείδησις
G4904,συνεργος
G4947,Συρία
G4957,συσταυροω
G4972,σφραγίζω
G4973,σφραγίς-5
G4979,σχοινίον
G4982,σῴζω
G4983,σῶμα
G4984,σωματικός
G4988,Σωσθένης-2
G4990,σωτήρ
G4991,σωτηρία
G4992,σωτήριος
G5007,τάλαντον
G5009,ταμεῖον-2
G5018,Ταρσεύς
G5019,Ταρσός
G5022,ταῦρος
G5028,τάφος
G5038,τεῖχος
G5056,τέλος
G5057,τελώνης
G5058,τελώνιον
G5059,τέρας
G5085,Τιβεριάς-2
G5095,Τιμόθεος
G5103,Τίτος
G5146,τρίβολος
G5158,τρόπος
G5161,Τρόφιμος
G5165,τρύβλιον
G5174,Τρῳάς
G5179,τύπος
G5184,Τύρος
G5190,Τύχικος
G5193,ὑάλινος
G5201,ὑδρία
G5211,Ὑμέναιος
G5253,ὑπερῷον
G5256,ὑπηρετέω
G5257,ὑπηρέτης
G5266,ὑπόδημα
G5268,ὑποζύγιον
G5272,ὑπόκρισις
G5273,ὑποκριτής
G5286,ὑποπόδιον
G5287,ὑποστασις
G5301,ὕσσωπος
G5308,ὑψηλός
G5310,ὕψιστος-2
G5311,ὕψος
G5326,φάντασμα
G5328,Φαραώ
G5329,Φάρες
G5330,Φαρισαῖος
G5336,φάτνη-2
G5347,Φῆστος
G5357,φιάλη
G5359,Φιλαδέλφεια
G5360,φιλαδελφία
G5363,φιλανθρωπία
G5366,φιλάργυρος
G5368,φιλέω
G5375,Φίλιπποι
G5376,Φίλιππος-3
G5384,φίλος
G5398,φοβερός
G5399,φοβέω-3
G5401,φόβος-3
G5403,Φοινίκη
G5404,φοῖνιξ
G5411,φόρος
G5418,φραγμός
G5426,φρονέω
G5427,φρόνημα
G5435,Φρυγία
G5438,φυλάσσω φυλακάς
G5443,φυλή
G5444,φύλλον
G5469,χαλινός
G5477,Χανάαν
G5479,χαρά-2
G5480,χάραγμα
G5483,χαρίζομαι
G5485,χάρις-3
G5486,χάρισμα
G5487,χαριτόω
G5500,χειροτονέω
G5509,χιτών-2
G5515,χλωρόν
G5519,χοῖρος
G5523,Χοραζίν
G5528,χόρτος-2
G5536,χρῆμα
G5543,χρηστός
G5544,χρηστότης
G5546,Χριστιανός
G5547,Χριστός-2
G5548,χρίω
G5553,χρυσίον-2
G5557,χρυσός
G5578,ψευδοπροφήτης
G5580,ψευδόχριστος
G5590,ψυχή-2
G5591,ψυχικός
G5601,Ἰωβήδ
