weight_lb,shipment_type,zone_A,zone_B,zone_C,zone_D,zone_E,zone_F,zone_G,zone_H,zone_I,zone_J,zone_K,zone_L,zone_M,zone_N
121.0,nondoc_or_doc_5lb_plus,991.86,1126.48,2052.21,2299.64,4096.31,2028.33,2507.68,1985.52,2863.98,4197.49,1905.45,3596.12,2874.08,4388.2
122.0,nondoc_or_doc_5lb_plus,1000.02,1135.15,2068.54,2319.18,4130.62,2043.58,2528.88,2002.33,2888.05,4229.77,1921.78,3624.7,2899.01,4423.14
123.0,nondoc_or_doc_5lb_plus,1008.18,1143.82,2084.87,2338.72,4164.93,2058.83,2550.08,2019.14,2912.12,4262.05,1938.11,3653.28,2923.94,4458.08
124.0,nondoc_or_doc_5lb_plus,1016.34,1152.49,2101.2,2358.26,4199.24,2074.08,2571.28,2035.95,2936.19,4294.33,1954.44,3681.86,2948.87,4493.02
125.0,nondoc_or_doc_5lb_plus,1024.5,1161.16,2117.53,2377.8,4233.55,2089.33,2592.48,2052.76,2960.26,4326.61,1970.77,3710.44,2973.8,4527.96
126.0,nondoc_or_doc_5lb_plus,1032.66,1169.83,2133.86,2397.34,4267.86,2104.58,2613.68,2069.57,2984.33,4358.89,1987.1,3739.02,2998.73,4562.9
127.0,nondoc_or_doc_5lb_plus,1040.82,1178.5,2150.19,2416.88,4302.17,2119.83,2634.88,2086.38,3008.4,4391.17,2003.43,3767.6,3023.66,4597.84
128.0,nondoc_or_doc_5lb_plus,1048.98,1187.17,2166.52,2436.42,4336.48,2135.08,2656.08,2103.19,3032.47,4423.45,2019.76,3796.18,3048.59,4632.78
129.0,nondoc_or_doc_5lb_plus,1057.14,1195.84,2182.85,2455.96,4370.79,2150.33,2677.28,2120.0,3056.54,4455.73,2036.09,3824.76,3073.52,4667.72
130.0,nondoc_or_doc_5lb_plus,1065.3,1204.51,2199.18,2475.5,4405.1,2165.58,2698.48,2136.81,3080.61,4488.01,2052.42,3853.34,3098.45,4702.66
131.0,nondoc_or_doc_5lb_plus,1073.46,1213.18,2215.51,2495.04,4439.41,2180.83,2719.68,2153.62,3104.68,4520.29,2068.75,3881.92,3123.38,4737.6
132.0,nondoc_or_doc_5lb_plus,1081.62,1221.85,2231.84,2514.58,4473.72,2196.08,2740.88,2170.43,3128.75,4552.57,2085.08,3910.5,3148.31,4772.54
133.0,nondoc_or_doc_5lb_plus,1089.78,1230.52,2248.17,2534.12,4508.03,2211.33,2762.08,2187.24,3152.82,4584.85,2101.41,3939.08,3173.24,4807.48
134.0,nondoc_or_doc_5lb_plus,1097.94,1239.19,2264.5,2553.66,4542.34,2226.58,2783.28,2204.05,3176.89,4617.13,2117.74,3967.66,3198.17,4842.42
135.0,nondoc_or_doc_5lb_plus,1106.1,1247.86,2280.83,2573.2,4576.65,2241.83,2804.48,2220.86,3200.96,4649.41,2134.07,3996.24,3223.1,4877.36
136.0,nondoc_or_doc_5lb_plus,1114.26,1256.53,2297.16,2592.74,4610.96,2257.08,2825.68,2237.67,3225.03,4681.69,2150.4,4024.82,3248.03,4912.3
